,markername,incre_new,Coordinate_Value,Primary_Bin,Chromosome,meanQTL_ID,vQTL_ID
1050,IDP2414,2197.1,327.01,3.05,3,,
1051,psr119a,2197.99,327.9,3.05,3,,
1052,gpm370,2200.06,329.97,3.05,3,,
1053,cdo105,2200.69,330.6,3.05,3,,
1054,AY111507,2201.39,331.3,3.05,3,,
1055,AY111541,2204.69,334.6,3.05,3,,
1056,IDP277,2213.88,343.79,3.05,3,,
1057,umc26a,2214.29,344.2,3.05,3,,
1058,IDP3796,2214.3,344.2,3.05,3,,
1059,myb2,2216.9,346.8,3.05,3,,
1060,IDP1974,2219.93,349.83,3.05,3,,
1061,gpm789a,2221.06,350.96,3.05,3,,
1062,umc2265,2224.1,354,3.05,3,,
1063,gpm402b,2224.45,354.35,3.05,3,,
1064,gpm375a,2224.86,354.76,3.05,3,,
1065,sps2,2228.4,358.3,3.05,3,,
1066,csu636,2231.2,361.1,3.05,3,,
1067,umc1973,2241.5,371.4,3.05,3,,
1068,IDP667,2241.96,371.86,3.05,3,,
1069,IDP3838,2244.59,374.49,3.05,3,,
1070,AY106230,2248,377.9,3.05,3,,
1071,gpm397a,2252.28,382.18,3.05,3,,
1072,AY111296,2255,384.9,3.05,3,,
1073,AI770873,2258.2,388.1,3.05,3,,
